Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Poland,446060.65933380486,441751.835790652,450651.07839646755,443017.43056976906,437353.13498515106,429014.94341868174,425255.70873402606,414994.2996361761,378656.79036334425,369592.3527725255,359423.6212364855,365717.11660792783,346813.40806627437,358068.4749108484,352111.5798917761,352690.17132682994,373234.84709888976,379416.6669202962,373024.3152999922,355077.2917475585,374274.66212645714,367381.6034733239,359101.29756525287,352920.38361312274,347583.5878722294,354251.8733863214,357919.5057407887,371614.3779766548,372255.6780164205,368091.85917671677,352354.58320844243
Portugal,66611.14258045048,59166.30046488886,56375.8408591181,54052.76737880272,55826.38049798883,59114.93155722676,57954.767232294864,60102.800273174355,65350.52575001136,72965.48134085759,80373.56083120074,73598.52020047184,78480.37157914825,86228.89916712427,80133.80343011543,89978.50541200624,79712.29659564888,75826.31064641508,67438.68976427699,63449.450087863945,62968.70673892042,65011.785114920705,64891.967033536166,64139.14354038959,58925.993625332114,64396.21189979092,67402.55781801742,92875.87819085122,64268.06947244892,59616.968033126075,53322.22464014049
Romania,228533.2496561666,181336.94136552943,164348.0470911174,152519.76294178006,150375.31674357344,157619.66307261185,161462.802120318,154194.2619282725,134874.0300522728,117377.46855982675,109316.17484068646,112096.40802875832,116089.2318503791,121375.87930636448,119850.22560757965,117832.72603204686,119247.87865075948,121991.56351345664,118476.94252067772,99863.39034384314,89434.38036608578,95363.40456980295,90781.77158047665,78752.74612313675,67009.77081812186,66802.02893641847,62748.747871304855,67825.9723282747,71029.07513846862,67540.14999649744,61629.281598878064
Russian Federation,3089163.443591085,2969236.8503206205,2481680.174150512,2286900.943635006,1940655.8658415421,1811559.5199297834,1693785.7316606166,1500686.2823586229,1459645.7693453098,1444050.2380306297,1421744.1142781961,1404382.365625797,1358516.064801029,1386494.14347035,1408500.41166871,1430913.658436126,1490744.1579023579,1471162.3416053972,1463363.8076898677,1255332.9578157149,1321327.2925414164,1425390.5148767112,1439469.5728321674,1429172.9233969531,1380210.765163917,1450053.3743941574,1418657.761200725,1479737.129096598,1567952.6577903265,1586015.7041763905,1503549.9491915025
Slovakia,64405.865332934154,54176.42881265289,47823.9608419505,44650.87183862622,42652.70169535883,43693.02534674102,43596.78568965242,43626.53280993922,41855.2158960643,41430.89139536174,39590.85310330188,42543.94094098177,40678.19608503054,41351.38396883194,42039.41465707443,45916.29290282131,42583.12321208263,41304.38764427701,42914.84413019575,38882.3686953574,40553.886307820976,39276.2472970861,35790.11137703892,34700.1334107714,34907.74895536082,35113.74721801505,35489.60155377499,36694.59224568715,37524.99716434315,34440.92953518332,29492.55612606833
Slovenia,14403.089659942387,12700.24487375463,12568.573661905462,12804.008083120356,13032.087386300913,13727.256870411302,13754.335789148396,14083.104753921336,13536.549851788137,12884.623896113915,12568.627152365481,13791.495413737142,12952.964347563358,12928.293648810519,13201.208727396654,13418.80468991817,13591.939072728492,13464.518119109822,14438.57227192683,12327.476985607129,12631.153308180023,12648.314619701305,12076.272180004693,13074.676159070466,17435.148913130968,17720.906284650555,18746.761344429357,18819.897802539406,18735.35924273444,13860.006129248053,12832.053447886317
Spain,253814.27969066935,261369.914933218,270608.5913824515,259342.47839068118,276732.5356613922,290576.25137156516,281301.91532162897,295436.20455917943,304316.69661900494,326925.7021738206,339879.5633733332,336738.0841458518,356375.69628101523,364050.47589864343,378957.54155464214,394377.9633133962,385336.34439077607,398664.57247022615,365116.78962402913,328155.120902867,310507.42059357354,311071.32259385847,306463.8490213389,280190.4750780856,279804.256933381,289064.892878551,276861.90802723914,289396.862015919,282765.6867894439,264584.7795613032,228149.60499440844
Sweden,25142.83415840679,25520.46475633486,26170.76860703556,30379.989453035054,31342.629829135047,30685.78630575296,32025.637285577544,26335.696690017747,26133.258031049605,22630.527371774537,20143.142179480277,20033.100650863085,21644.823819843084,24764.655274987595,26515.5508566722,23155.751553820937,15774.653471361882,16724.570029206647,14586.199543705392,10475.819538935863,14087.653919425193,8844.013258132725,5856.78671318303,6017.480861144551,5804.530785539505,7145.296139767541,8252.00009488333,13772.653288834426,16333.479798561411,12351.597434636393,4927.408545997695
Switzerland,53170.08853169214,51926.7755954798,52558.94647430283,49705.15697073265,49942.98600895395,50023.17260765138,49012.23999538433,49492.476500805235,51971.239738894714,52178.765625019936,59103.94743654172,54531.05457458632,51220.414535918804,52318.42449542774,52832.84426429885,53198.938694357166,53836.82664069822,52981.472871565515,53152.430957171346,50567.22249124125,52499.631965178654,50202.88610812472,49999.90358627546,51618.72624882639,49264.35890717787,46949.05972482398,47231.92001758671,46559.43192905374,45653.88660770893,44704.05184687739,42363.05874534252
Türkiye,153015.19538037715,159421.58157517578,165658.91453012015,174168.63459352838,166374.2021356787,180483.14773789546,200453.45442426097,208365.32557885407,209706.7625722781,206584.47909536058,230865.091059066,208956.5606330186,216341.81662404843,233636.14605665678,244736.92179220586,265796.5610362977,286547.502437907,319917.3001093253,320577.80656090373,324327.646925426,326912.68548160547,353035.7303714753,374799.3473493691,363707.4766793686,382612.0157211394,402160.96764338226,427997.60783839977,453606.79388920177,453355.7864054267,446005.5889223877,467043.205410968
