Country,Year,Emissions
Austria,2004,69002.7030244133
Belarus,2004,52565.810812206764
Belgium,2004,146818.3006333753
Bulgaria,2004,46624.35161721196
Canada,2004,724291.7985800534
Croatia,2004,21658.11778900958
Cyprus,2004,8863.081796183422
Czechia,2004,142866.87252708577
Denmark,2004,78273.98681795468
Estonia,2004,14634.350214973396
European Union (Convention),2004,4214237.759578747
Finland,2004,53365.787700588226
France,2004,503416.01802779624
Germany,2004,1022360.496100177
Greece,2004,129521.32440565512
Hungary,2004,73724.84300927912
Iceland,2004,13845.748494312456
Ireland,2004,76961.4264273523
Italy,2004,558433.1096387666
Japan,2004,1275208.217602063
Kazakhstan,2004,356054.7574308322
Latvia,2004,4343.522464707417
Liechtenstein,2004,273.2438099590518
Lithuania,2004,16545.325535349282
Luxembourg,2004,12131.473245859555
Malta,2004,3175.7836845369893
Monaco,2004,98.83467523612832
Netherlands,2004,226355.6013721795
New Zealand,2004,52635.34973334396
Norway,2004,32470.998339563506
Poland,2004,352111.5798917761
Portugal,2004,80133.80343011543
Romania,2004,119850.22560757965
Russian Federation,2004,1408500.41166871
Slovakia,2004,42039.41465707443
Slovenia,2004,13201.208727396654
Spain,2004,378957.54155464214
Sweden,2004,26515.5508566722
Switzerland,2004,52832.84426429885
Türkiye,2004,244736.92179220586
Ukraine,2004,433545.6359680205
United Kingdom of Great Britain and Northern Ireland,2004,711783.8293683222
United States of America,2004,6754775.293164382
Australia,2005,608646.5416139141
Austria,2005,74170.22181206936
Belarus,2005,52463.868162958446
Belgium,2005,143653.11151049164
Bulgaria,2005,45904.20935551379
Canada,2005,726677.6844996747
Croatia,2005,21907.764315234555
Cyprus,2005,9001.614060941778
Czechia,2005,140676.8974775093
Denmark,2005,73928.17602550193
Estonia,2005,16386.818825711558
European Union (Convention),2005,4195186.823702896
Finland,2005,41256.91554966067
France,2005,503205.43115928717
Germany,2005,992819.4459634281
Greece,2005,133219.64292968853
Hungary,2005,70956.84574629813
Iceland,2005,13694.679531985854
Ireland,2005,79222.49197819762
Italy,2005,558639.9878176262
Japan,2005,1288622.633092326
Kazakhstan,2005,370625.00428035384
Latvia,2005,5055.856101514192
Liechtenstein,2005,273.87249490413666
Lithuania,2005,18286.987305785384
Luxembourg,2005,12427.867124584263
Malta,2005,2997.1712025558318
Monaco,2005,97.6561910221469
Netherlands,2005,220426.4911818759
New Zealand,2005,56452.71508611475
Norway,2005,34131.977283489396
Poland,2005,352690.17132682994
Portugal,2005,89978.50541200624
Romania,2005,117832.72603204686
Russian Federation,2005,1430913.658436126
Slovakia,2005,45916.29290282131
Slovenia,2005,13418.80468991817
Spain,2005,394377.9633133962
Sweden,2005,23155.751553820937
Switzerland,2005,53198.938694357166
Türkiye,2005,265796.5610362977
Ukraine,2005,433455.730641549
United Kingdom of Great Britain and Northern Ireland,2005,703077.0615743698
United States of America,2005,6696263.743450507
Australia,2006,621730.1857649873
Austria,2006,81085.78406987128
Belarus,2006,53046.70698013394
Belgium,2006,140973.90554279988
Bulgaria,2006,49951.37220128474
Canada,2006,705956.5183884421
Croatia,2006,22498.24440377833
Cyprus,2006,9247.999792781424
Czechia,2006,143088.9873430403
Denmark,2006,81844.05172018537
Estonia,2006,14156.899982593897
European Union (Convention),2006,4182107.9921454825
Finland,2006,48761.347849143276
France,2006,492620.7838314284
Germany,2006,992776.1746362419
Greece,2006,129680.3141018863
Hungary,2006,71613.61572095174
Iceland,2006,14317.707563168187
Ireland,2006,78634.34059148404
Italy,2006,547687.5977728965
Japan,2006,1272113.015390104
Kazakhstan,2006,398011.91469733714
Latvia,2006,4743.944499306217
Liechtenstein,2006,282.30367153969274
Lithuania,2006,19029.31083956764
Luxembourg,2006,12339.503227504725
Malta,2006,3050.545566681849
Monaco,2006,93.25081267095209
Netherlands,2006,215280.65547424776
New Zealand,2006,58518.86142004091
Norway,2006,32230.011275653895
Poland,2006,373234.84709888976
Portugal,2006,79712.29659564888
Romania,2006,119247.87865075948
Russian Federation,2006,1490744.1579023579
Slovakia,2006,42583.12321208263
Slovenia,2006,13591.939072728492
Spain,2006,385336.34439077607
Sweden,2006,15774.653471361882
Switzerland,2006,53836.82664069822
Türkiye,2006,286547.502437907
Ukraine,2006,448037.2865881008
United Kingdom of Great Britain and Northern Ireland,2006,695269.326712533
United States of America,2006,6589491.6483861655
Australia,2007,633487.1950290819
Austria,2007,81695.74102429638
Belarus,2007,49101.29505279244
Belgium,2007,137651.46586202754
Bulgaria,2007,52927.00897454131
Canada,2007,731193.6002464512
Croatia,2007,25084.670264138644
Cyprus,2007,9620.761127082847
Czechia,2007,145322.4218094859
Denmark,2007,77515.77447468296
Estonia,2007,18151.43283222788
European Union (Convention),2007,4197693.252508365
Finland,2007,56730.905541859596
France,2007,484336.3116802664
Germany,2007,968829.6529664595
Greece,2007,133579.1179956849
Hungary,2007,69621.96132833947
Iceland,2007,14526.331442108734
Ireland,2007,76434.29265759127
Italy,2007,565389.2289268512
Japan,2007,1311399.241628988
Kazakhstan,2007,388643.3037209246
Latvia,2007,5616.032790895753
Liechtenstein,2007,262.1427087939726
Lithuania,2007,19198.764037691908
Luxembourg,2007,11843.553256450814
Malta,2007,3138.378841343945
Monaco,2007,93.03235947296828
Netherlands,2007,213475.90892887875
New Zealand,2007,58057.74630464035
Norway,2007,33802.509399381976
Poland,2007,379416.6669202962
Portugal,2007,75826.31064641508
Romania,2007,121991.56351345664
Russian Federation,2007,1471162.3416053972
Slovakia,2007,41304.38764427701
Slovenia,2007,13464.518119109822
Spain,2007,398664.57247022615
Sweden,2007,16724.570029206647
Switzerland,2007,52981.472871565515
Türkiye,2007,319917.3001093253
Ukraine,2007,449344.36205932935
United Kingdom of Great Britain and Northern Ireland,2007,682762.6171113611
United States of America,2007,6737347.3157313485
Australia,2008,622402.8566912478
Austria,2008,74397.51971043061
Belarus,2008,52129.28731016964
Belgium,2008,137665.47451107498
Bulgaria,2008,53229.95165871896
Canada,2008,709425.2615917299
Croatia,2008,23927.860717763466
Cyprus,2008,9775.56084574565
Czechia,2008,138925.1873292527
Denmark,2008,72491.08883587172
Estonia,2008,14781.515666636902
European Union (Convention),2008,4059809.0819487446
Finland,2008,45999.69091929366
France,2008,479369.7541119554
Germany,2008,963535.5908325373
Greece,2008,129162.0019410344
Hungary,2008,65888.1321454036
Iceland,2008,14950.385830704286
Ireland,2008,75441.54874030106
Italy,2008,534327.063366032
Japan,2008,1248395.5896869863
Kazakhstan,2008,378435.6919669335
Latvia,2008,4769.3600314268215
Liechtenstein,2008,283.92180842499675
Lithuania,2008,17583.630348792183
Luxembourg,2008,11715.517941312906
Malta,2008,3031.8951522521306
Monaco,2008,93.71712863937496
Netherlands,2008,213345.39235384623
New Zealand,2008,49977.04281652822
Norway,2008,31069.889018306196
Poland,2008,373024.3152999922
Portugal,2008,67438.68976427699
Romania,2008,118476.94252067772
Russian Federation,2008,1463363.8076898677
Slovakia,2008,42914.84413019575
Slovenia,2008,14438.57227192683
Spain,2008,365116.78962402913
Sweden,2008,14586.199543705392
Switzerland,2008,53152.430957171346
Türkiye,2008,320577.80656090373
Ukraine,2008,451991.107991039
United Kingdom of Great Britain and Northern Ireland,2008,660627.0430734991
United States of America,2008,6531127.295188469
Australia,2009,624317.9930763859
Austria,2009,72088.1370071335
Belarus,2009,46997.644783850345
Belgium,2009,125246.45807677749
Bulgaria,2009,44269.16342550903
Canada,2009,640754.1975671027
Croatia,2009,21636.139096726503
Cyprus,2009,9512.3249276873
Czechia,2009,129494.5503281017
Denmark,2009,69028.48174934748
Estonia,2009,11707.804048786662
European Union (Convention),2009,3742006.367739025
Finland,2009,30144.795827193062
France,2009,468924.1237153599
Germany,2009,888193.2226809281
Greece,2009,121836.75531039637
Hungary,2009,61308.750617941965
Iceland,2009,14634.42939660159
Ireland,2009,69085.01587649091
Italy,2009,476313.9861791921
Japan,2009,1179536.1744385648
Kazakhstan,2009,365392.7591660233
Latvia,2009,6979.91379705817
Liechtenstein,2009,266.1850756907442
Lithuania,2009,12565.933913615605
Luxembourg,2009,11161.113304866018
Malta,2009,2896.694426751008
Monaco,2009,90.05944367966599
Netherlands,2009,207646.02408165683
New Zealand,2009,48418.27726511786
Norway,2009,25300.0924318942
Poland,2009,355077.2917475585
Portugal,2009,63449.450087863945
Romania,2009,99863.39034384314
Russian Federation,2009,1255332.9578157149
Slovakia,2009,38882.3686953574
Slovenia,2009,12327.476985607129
Spain,2009,328155.120902867
Sweden,2009,10475.819538935863
Switzerland,2009,50567.22249124125
Türkiye,2009,324327.646925426
Ukraine,2009,385785.26986245374
United Kingdom of Great Britain and Northern Ireland,2009,603716.7330451506
United States of America,2009,6120284.539568482
Australia,2010,603247.5753645701
Austria,2010,64934.19370888505
Belarus,2010,45738.05296745821
Belgium,2010,133282.06287982536
Bulgaria,2010,47506.28761265139
Canada,2010,683694.5481559228
Croatia,2010,21283.432270180787
Cyprus,2010,9190.82931422233
Czechia,2010,133012.71635635814
Denmark,2010,68410.60508638131
Estonia,2010,15628.933934261386
European Union (Convention),2010,3824203.9410274345
Finland,2010,49529.47594279577
France,2010,470208.6137402647
Germany,2010,929723.2982616755
Greece,2010,115767.70672874904
Hungary,2010,61701.8103268208
Iceland,2010,14502.58728240928
Ireland,2010,70087.95274482852
Italy,2010,481781.11388832686
Japan,2010,1229192.8013016253
Kazakhstan,2010,381414.8660059266
Latvia,2010,9828.953282758639
Liechtenstein,2010,249.78940529291629
Lithuania,2010,10376.207919115635
Luxembourg,2010,11953.645500975443
Malta,2010,2973.5311090535524
Monaco,2010,87.67635821454624
Netherlands,2010,219332.04468904433
New Zealand,2010,48102.81080051475
Norway,2010,31090.78585719989
Poland,2010,374274.66212645714
Portugal,2010,62968.70673892042
Romania,2010,89434.38036608578
Russian Federation,2010,1321327.2925414164
Slovakia,2010,40553.886307820976
Slovenia,2010,12631.153308180023
Spain,2010,310507.42059357354
Sweden,2010,14087.653919425193
Switzerland,2010,52499.631965178654
Türkiye,2010,326912.68548160547
Ukraine,2010,398348.9546665679
United Kingdom of Great Britain and Northern Ireland,2010,617481.946550461
United States of America,2010,6307176.800324899
Australia,2011,582074.5325512264
Austria,2011,67145.81289424277
Belarus,2011,46086.466285000584
Belgium,2011,122901.64128660267
Bulgaria,2011,56209.28966604965
Canada,2011,699362.8230121888
Croatia,2011,22250.53097434467
Cyprus,2011,8857.683417540673
Czechia,2011,131048.73293508416
Denmark,2011,62653.23965023596
Estonia,2011,15879.537011770153
European Union (Convention),2011,3718746.3562066643
Finland,2011,42513.21799087542
France,2011,443902.8423165838
Germany,2011,898693.0873814967
Greece,2011,112680.36593272118
Hungary,2011,60689.221369765255
Iceland,2011,14261.658978289224
Ireland,2011,65029.04575407371
Italy,2011,476476.15971723455
Japan,2011,1281621.0861804013
Kazakhstan,2011,355241.10138719296
Latvia,2011,8637.23654329908
Liechtenstein,2011,240.62441575173864
Lithuania,2011,10540.588697658208
Luxembourg,2011,11742.314735605507
Malta,2011,2959.0878628698392
Monaco,2011,86.21236498597798
Netherlands,2011,205574.61277467542
New Zealand,2011,47614.07062873739
Norway,2011,28829.270941052815
Poland,2011,367381.6034733239
Portugal,2011,65011.785114920705
Romania,2011,95363.40456980295
Russian Federation,2011,1425390.5148767112
Slovakia,2011,39276.2472970861
Slovenia,2011,12648.314619701305
Spain,2011,311071.32259385847
Sweden,2011,8844.013258132725
Switzerland,2011,50202.88610812472
Türkiye,2011,353035.7303714753
Ukraine,2011,437358.7289515637
United Kingdom of Great Britain and Northern Ireland,2011,571393.7685699476
United States of America,2011,6115978.535866366
Australia,2012,566439.3985921922
Austria,2012,74020.83833297376
Belarus,2012,48985.98607767717
Belgium,2012,120167.3619346923
Bulgaria,2012,51654.63203000957
Canada,2012,695184.0101102786
Croatia,2012,20932.228599047085
Cyprus,2012,8331.061021724856
Czechia,2012,126916.17355231213
Denmark,2012,57622.50165810591
Estonia,2012,16403.89439371307
European Union (Convention),2012,3649077.3012128556
Finland,2012,35208.57721459131
France,2012,440645.65741958027
Germany,2012,895880.956083777
Greece,2012,109382.00526827233
Hungary,2012,56792.63073112467
Iceland,2012,14250.001277662997
Ireland,2012,65426.13580289566
Italy,2012,467036.0028688095
Japan,2012,1321698.3860221966
Kazakhstan,2012,346189.4268348067
Latvia,2012,7095.5553149762345
Liechtenstein,2012,250.11282068569713
Lithuania,2012,10893.675577627408
Luxembourg,2012,11435.980021412726
Malta,2012,3124.489447622723
Monaco,2012,89.0550058777829
Netherlands,2012,201546.7199338038
New Zealand,2012,52539.62859776974
Norway,2012,31968.20990959101
Poland,2012,359101.29756525287
Portugal,2012,64891.967033536166
Romania,2012,90781.77158047665
Russian Federation,2012,1439469.5728321674
Slovakia,2012,35790.11137703892
Slovenia,2012,12076.272180004693
Spain,2012,306463.8490213389
Sweden,2012,5856.78671318303
Switzerland,2012,49999.90358627546
Türkiye,2012,374799.3473493691
Ukraine,2012,422863.48159322486
United Kingdom of Great Britain and Northern Ireland,2012,587662.0542650231
United States of America,2012,5884941.229451039
Australia,2013,549887.6741534822
Austria,2013,73986.20612797934
Belarus,2013,48436.570125130405
Belgium,2013,119599.79188779922
Bulgaria,2013,47567.23546798702
Canada,2013,703363.1026367359
Croatia,2013,18742.355490787428
Cyprus,2013,7622.949393582234
Czechia,2013,122170.08702822165
Denmark,2013,58978.119694758156
Estonia,2013,19163.295189257842
European Union (Convention),2013,3562588.4867833504
Finland,2013,42427.87361620653
France,2013,442442.7658971059
Germany,2013,917292.6165159595
Greece,2013,101240.11530124613
Hungary,2013,54588.35466063106
Iceland,2013,14244.175013426342
Ireland,2013,66001.27241487766
Italy,2013,415242.3808588213
Japan,2013,1340696.6682987057
Kazakhstan,2013,340001.7923746923
Latvia,2013,8299.432889603351
Liechtenstein,2013,248.81818116043016
Lithuania,2013,10373.874395740913
Luxembourg,2013,10767.470396642735
Malta,2013,2797.5486588650933
Monaco,2013,91.0534824347096
Netherlands,2013,200775.33477395648
New Zealand,2013,52218.74828978599
Norway,2013,31674.200471797863
Poland,2013,352920.38361312274
Portugal,2013,64139.14354038959
Romania,2013,78752.74612313675
Russian Federation,2013,1429172.9233969531
Slovakia,2013,34700.1334107714
